Price,Close,SMA_50,SMA_200,Signal_SMA,Action,ExecAction,Portfolio,Shares,Max Drawdown Amount,Max Drawdown Percent,Daily Return
Ticker,NVDA,,,,,,,,,,
Date,,,,,,,,,,,
2021-03-15,13.160272598266602,13.509957752227784,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-16,13.260038375854492,13.51476152420044,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-17,13.309921264648438,13.519396114349366,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-18,12.692623138427734,13.505875434875488,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-19,12.815585136413574,13.510576419830322,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-22,13.155282974243164,13.50752067565918,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-23,13.040058135986328,13.503501815795898,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-24,12.613310813903809,13.484071578979492,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-25,12.505812644958496,13.46521900177002,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-26,12.809098243713379,13.451494655609132,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-29,12.91784381866455,13.446557388305663,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-30,12.841523170471191,13.446890296936035,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-31,13.316903114318848,13.453424797058105,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-01,13.779317855834961,13.46241590499878,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-05,13.95465087890625,13.464905700683595,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-06,13.828950881958008,13.467973155975342,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-07,14.1102876663208,13.477849140167237,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-08,14.283380508422852,13.495535259246827,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-09,14.36618423461914,13.525199565887451,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-12,15.173283576965332,13.56834804534912,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-13,15.642681121826172,13.62210620880127,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-14,15.24112319946289,13.66290147781372,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-15,16.099353790283203,13.71448356628418,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-16,15.875131607055664,13.762104797363282,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-19,15.325675010681152,13.79606912612915,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-20,15.13562297821045,13.82769344329834,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-21,15.324427604675293,13.846184501647949,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-22,14.815378189086914,13.857995185852051,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-23,15.229403495788574,13.86809331893921,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-26,15.441652297973633,13.872732639312744,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-27,15.34562873840332,13.881225891113282,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-28,15.240874290466309,13.880263919830321,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-29,15.288763046264648,13.88872184753418,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-04-30,14.974248886108398,13.892425384521484,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-03,14.801910400390625,13.89073736190796,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-04,14.317548751831055,13.890746383666992,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-05,14.424546241760254,13.897158870697021,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-06,14.488895416259766,13.897737579345703,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-07,14.7774658203125,13.927853565216065,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-10,14.23224925994873,13.93894708633423,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-11,14.27265453338623,13.94831060409546,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-12,13.726191520690918,13.955431385040283,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-13,13.633161544799805,13.972689113616944,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-14,14.209552764892578,14.010141334533692,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-17,14.132235527038574,14.044227085113526,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-18,13.982836723327637,14.09264316558838,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-19,14.032718658447266,14.123480529785157,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-20,14.57818603515625,14.16626485824585,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-21,14.956544876098633,14.206136016845702,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-24,15.575339317321777,14.261126613616943,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-25,15.611003875732422,14.31014123916626,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-26,15.663132667541504,14.358203125,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-27,15.451627731323242,14.401037254333495,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-05-28,16.20635223388672,14.471311836242675,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-06-01,16.22630500793457,14.539526233673095,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-06-02,16.738847732543945,14.611197528839112,13.59277841091156,1,1.0,0,1000.0,0.0,0.0,0.0,0.0
2021-06-03,16.929899215698242,14.68899435043335,13.615945549011231,1,0.0,1,1000.0,59.06709704879698,0.0,0.0,0.0
2021-06-04,17.536970138549805,14.78746753692627,13.642528061866761,1,0.0,0,1035.857917115576,59.06709704879698,0.0,0.0,0.035857917115575955
2021-06-07,17.577625274658203,14.888903789520263,13.669923076629638,1,0.0,0,1038.2592979856229,59.06709704879698,0.0,0.0,0.0023182531410619323
2021-06-08,17.416006088256836,14.981041946411132,13.696497540473938,1,0.0,0,1028.7129218175055,59.06709704879698,-9.546376168117376,-0.009194597329047483,-0.009194597329047483
2021-06-09,17.321456909179688,15.069114208221436,13.719895663261413,1,0.0,0,1023.1281762810715,59.06709704879698,-15.131121704551333,-0.014573547989320201,-0.005428866905420993
2021-06-10,17.388063430786133,15.160045013427734,13.743443684577942,1,0.0,0,1027.0624301568823,59.06709704879698,-11.196867828740551,-0.010784269257654744,0.003845318667804909
2021-06-11,17.7874698638916,15.249456348419189,13.768840465545654,1,0.0,0,1050.6542087030368,59.06709704879698,0.0,0.0,0.02297015045380535
2021-06-14,17.980552673339844,15.333481044769288,13.795088038444518,1,0.0,0,1062.0590497471705,59.06709704879698,0.0,0.0,0.010854990109650187
2021-06-15,17.75079345703125,15.409403896331787,13.820908184051513,1,0.0,0,1048.4878398196154,59.06709704879698,-13.571209927555174,-0.012778206570327577,-0.012778206570327577
2021-06-16,17.77250099182129,15.488274898529053,13.844247908592225,1,0.0,0,1049.7700408837486,59.06709704879698,-12.289008863421941,-0.011570928063131203,0.0012229050404188868
2021-06-17,18.617708206176758,15.578423309326173,13.870683641433716,1,0.0,0,1099.6939774404266,59.06709704879698,0.0,0.0,0.04755702164509246
2021-06-18,18.599245071411133,15.664740600585937,13.894781284332275,1,0.0,0,1098.6034136674002,59.06709704879698,-1.0905637730263606,-0.000991697504395428,-0.000991697504395428
2021-06-21,18.3881893157959,15.745180702209472,13.915204005241394,1,0.0,0,1086.136962867768,59.06709704879698,-13.557014572658545,-0.01232798837746929,-0.011347544204342364
2021-06-22,18.84671401977539,15.818649311065673,13.944554462432862,1,0.0,0,1113.2206860569956,59.06709704879698,0.0,0.0,0.024935826801913974
2021-06-23,19.016855239868164,15.886132793426514,13.976714754104615,1,0.0,0,1123.2704340162163,59.06709704879698,0.0,0.0,0.009027633141472258
2021-06-24,19.164791107177734,15.96460615158081,14.013151636123657,1,0.0,0,1132.0085762475885,59.06709704879698,0.0,0.0,0.007779197214449196
2021-06-25,18.990663528442383,16.022432346343994,14.044719858169556,1,0.0,0,1121.7233656555554,59.06709704879698,-10.285210592033081,-0.009085806245502814,-0.009085806245502814
2021-06-28,19.94264030456543,16.10378252029419,14.083058185577393,1,0.0,0,1177.9538702790164,59.06709704879698,0.0,0.0,0.05012867373998131
2021-06-29,19.98430061340332,16.196955032348633,14.122338876724243,1,0.0,0,1180.414623784227,59.06709704879698,0.0,0.0,0.002089006681244454
2021-06-30,19.960102081298828,16.2934446144104,14.157970395088196,1,0.0,0,1178.9852867399725,59.06709704879698,-1.4293370442544528,-0.0012108771066154933,-0.0012108771066154933
2021-07-01,20.169158935546875,16.39033924102783,14.194055218696594,1,0.0,0,1191.3336682385582,59.06709704879698,0.0,0.0,0.010473736727224514
2021-07-02,20.443574905395508,16.502903175354003,14.233887515068055,1,0.0,0,1207.542622961347,59.06709704879698,0.0,0.0,0.013605722019721433
2021-07-06,20.65462875366211,16.611407680511476,14.275029306411744,1,0.0,0,1220.0089610994326,59.06709704879698,0.0,0.0,0.010323725143145168
2021-07-07,20.328571319580078,16.709146060943603,14.315907974243164,1,0.0,0,1200.7496949970273,59.06709704879698,-19.259266102405263,-0.01578616773851349,-0.01578616773851349
2021-07-08,19.860565185546875,16.799444789886476,14.35281150341034,1,0.0,0,1173.1059312586558,59.06709704879698,-46.90302984077675,-0.038444824043349035,-0.02302208682921203
2021-07-09,20.00775146484375,16.894782333374025,14.389850263595582,1,0.0,0,1181.7997975021358,59.06709704879698,-38.209163597296765,-0.031318756513775026,0.007410981405704842
2021-07-12,20.469022750854492,16.99838752746582,14.431757707595825,1,0.0,0,1209.0457533187557,59.06709704879698,-10.96320778067684,-0.008986169880913941,0.023054628943250277
2021-07-13,20.20707130432129,17.10304397583008,14.471237487792969,1,0.0,0,1193.5730418043063,59.06709704879698,-26.43591929512627,-0.02166862714787199,-0.012797457393136535
2021-07-14,19.79944610595703,17.202994689941406,14.506058249473572,1,0.0,0,1169.4958046529894,59.06709704879698,-50.51315644644319,-0.04140392247686642,-0.020172403621750434
2021-07-15,18.926050186157227,17.29516471862793,14.535708184242248,1,0.0,0,1117.906843096151,59.06709704879698,-102.10211800328148,-0.08368964594429729,-0.044112139053073096
2021-07-16,18.12250518798828,17.36912389755249,14.560389494895935,1,0.0,0,1070.4437727062307,59.06709704879698,-149.56518839320188,-0.12259351624632209,-0.042457089052668096
2021-07-19,18.739944458007812,17.454144878387453,14.58663881778717,1,0.0,0,1106.9141179902126,59.06709704879698,-113.09484310921994,-0.09270001017640273,0.03407030449789983
2021-07-20,18.572551727294922,17.5300465965271,14.611632432937622,1,0.0,0,1097.026715319931,59.06709704879698,-122.98224577950145,-0.10080437906675199,-0.00893240271271789
2021-07-21,19.368858337402344,17.632778778076172,14.643360571861267,1,0.0,0,1144.0622351397449,59.06709704879698,-75.94672595968768,-0.06225095747759668,0.04287545523091163
2021-07-22,19.552467346191406,17.738375034332275,14.673114171028137,1,0.0,0,1154.9074862809218,59.06709704879698,-65.10147481851072,-0.053361472656597075,0.00947959893095529
2021-07-23,19.516542434692383,17.854182052612305,14.702219543457032,1,0.0,0,1152.7855060469394,59.06709704879698,-67.22345505249314,-0.05510078794168327,-0.0018373594934566473
2021-07-26,19.25309944152832,17.966580810546876,14.728873605728149,1,0.0,0,1137.2246932028922,59.06709704879698,-82.78426789654031,-0.06785545888280842,-0.013498445948897597
2021-07-27,19.16728401184082,18.06573543548584,14.755722966194153,1,0.0,0,1132.1558248892566,59.06709704879698,-87.85313621017599,-0.07201023845841725,-0.004457226741497955
2021-07-28,19.46165657043457,18.17232385635376,14.78442304611206,1,0.0,0,1149.543557376216,59.06709704879698,-70.46540372321647,-0.05775810339926957,0.015358073601450029
2021-07-29,19.620319366455078,18.285073509216307,14.811607117652892,1,0.0,0,1158.915308146793,59.06709704879698,-61.09365295263956,-0.05007639689595722,0.008152584310913369
2021-07-30,19.457672119140625,18.393572578430177,14.837867035865784,1,0.0,0,1149.3082074049505,59.06709704879698,-70.70075369448205,-0.057951011794838636,-0.008289734956737349
2021-08-02,19.70813751220703,18.496171607971192,14.866141982078553,1,0.0,0,1164.102471084569,59.06709704879698,-55.90649001486349,-0.04582465522587831,0.012872320570147977
